TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000278	"mitotic cell cycle"	-4.949311231585251	5.011887485452387	0.3418448967340631	0.9914694321952721	0.00783931	null
GO:0000302	"response to reactive oxygen species"	-2.9628121747940703	4.630936119064192	0.14219089935669005	1	0	null
GO:0000902	"cell morphogenesis"	-7.283430025607776	4.884126704106494	0.2547222452837418	0.9135711426801931	0	null
GO:0009653	"anatomical structure morphogenesis"	9653	-4.949311231585251	5.371514863066642	0.7824540774185857	0.9076835963188219	0.70370045	902
GO:0002115	"store-operated calcium entry"	-4.090048146897967	2.5415792439465807	0.001154184707870861	0.9646129351804734	0	null
GO:0002949	"tRNA threonylcarbamoyladenosine modification"	-14.720742525110975	4.480222598584475	0.10049722410262305	0.7974128367858372	0	null
GO:0006399	"tRNA metabolic process"	6399	-6.9451320245510635	5.880659276038633	2.5269959479136066	0.7733676227200205	0.86457849	2949
GO:0006400	"tRNA modification"	6400	-9.520898616032866	5.471061297806579	0.9840239548874101	0.7552537196537223	0.72427017	2949
GO:0008033	"tRNA processing"	8033	-8.113956663277369	5.638987162110661	1.448545048727217	0.7819718449520754	0.80967452	2949
GO:0034470	"ncRNA processing"	34470	-8.302221682619018	5.906238042131346	2.6802996170368574	0.7720112176070293	0.76562652	2949
GO:0003352	"regulation of cilium movement"	-3.440110178827324	3.4211101297934343	0.008767812362961354	0.931532790472309	0.16297575	null
GO:0060632	"regulation of microtubule-based movement"	60632	-3.440110178827324	3.4774106879072515	0.009981868323690071	0.9311123832328856	0.77093675	3352
GO:0006310	"DNA recombination"	-10.999268143243363	5.697388903585554	1.6570433606239807	0.8228255589982383	0.2436964	null
GO:0006325	"chromatin organization"	-3.27079522691294	5.497720063529901	1.0463199934860077	0.9411364575392253	0.41485778	null
GO:0006479	"protein methylation"	-2.8088692956964194	4.90114215765946	0.2649003582695771	0.8376310340160753	0.30895342	null
GO:0016571	"histone methylation"	16571	-2.3886366202547658	4.443435106114942	0.0923347766296689	0.8491931161072998	0.91600011	6479
GO:0018022	"peptidyl-lysine methylation"	18022	-2.475543198301445	4.519512983257626	0.11001342712630759	0.8473730226943614	0.92858976	6479
GO:0034968	"histone lysine methylation"	34968	-2.475543198301445	4.400779676512968	0.08369668531456623	0.8501966413425602	0.90908953	6479
GO:0006547	"histidine metabolic process"	-5.270497750057436	5.084486907735044	0.4040444760919452	0.8475232243228783	0.27338103	null
GO:0006816	"calcium ion transport"	-3.119386667824456	4.955504952265677	0.3002243974557112	0.9506752310954532	0.44144105	null
GO:0006886	"intracellular protein transport"	-2.3024367786959576	5.590368064003245	1.2951282894596792	0.9490818963705615	0.51842831	null
GO:0006997	"nucleus organization"	-4.35439555053744	4.105714510570921	0.042425435011218544	0.946840269888776	0.44265711	null
GO:0007018	"microtubule-based movement"	-3.116775188026867	5.1016817874321765	0.4203627186764249	0.9747554859509114	0.00876671	null
GO:0003341	"cilium movement"	3341	-3.2547163374239534	4.23724203998423	0.05743316239425406	0.9760954365756433	0.73370725	7018
GO:0007031	"peroxisome organization"	-7.69948190047332	4.5288138965177	0.11239497251776447	0.9436580922626704	0.00713847	null
GO:0007286	"spermatid development"	-4.35439555053744	3.9203842421783577	0.027687128266043366	0.8360259940911697	0.53769688	null
GO:0007281	"germ cell development"	7281	-3.2943879637963365	4.351371077498065	0.0746960403016021	0.8345857230666635	0.88590108	7286
GO:0007283	"spermatogenesis"	7283	-2.2424289837507683	4.467504513625896	0.09759679451973144	0.8391876325853102	0.90390781	7286
GO:0007289	"spermatid nucleus differentiation"	7289	-4.35439555053744	3.0751818546186915	0.003951502688618395	0.820460208897563	0.88589852	7286
GO:0022412	"cellular process involved in reproduction in multicellular organism"	22412	-2.3024367786959576	4.527346292603316	0.11201578791633139	0.8645503266344037	0.82672423	7286
GO:0035092	"sperm DNA condensation"	35092	-4.35439555053744	2.8686444383948255	0.002454721367172033	0.8190408709362644	0.86347262	7286
